,,,,domain,,,Uniprot,
PF00362,Integrin beta chain VWA domain,pfam,domain,IPR002369,-,-,P16144,1822
PF03160,Calx-beta domain,pfam,domain,IPR003644,-,-,P16144,1822
PF07965,Integrin beta tail domain,pfam,domain,IPR012896,-,-,P16144,1822
PF07974,EGF-like domain,pfam,domain,IPR013111,-,-,P16144,1822
PF17205,Integrin plexin domain,pfam,domain,IPR033760,-,-,P16144,1822
PF18372,Integrin beta epidermal growth factor like domain 1,pfam,domain,IPR040622,-,-,P16144,1822
PF00106,short chain dehydrogenase,pfam,domain,IPR002347,-,-,P16152,277
PF00531,Death domain,pfam,domain,IPR000488,-,-,P16157,1881
PF17809,UPA domain,pfam,domain,IPR040745,-,-,P16157,1881
PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",pfam,domain,IPR009075,-,-,P16219,412
PF02770,"Acyl-CoA dehydrogenase, middle domain",pfam,domain,IPR006091,-,-,P16219,412
PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",pfam,domain,IPR013786,-,-,P16219,412
PF01301,Glycosyl hydrolases family 35,pfam,domain,IPR031330,-,-,P16278,677
PF21317,"Beta-galactosidase, first all-beta domain",pfam,domain,IPR048912,-,-,P16278,677
PF21467,"Beta-galactosidase, galactose-binding domain",pfam,domain,IPR048913,-,-,P16278,677
PF13895,Immunoglobulin domain,pfam,domain,-,-,-,P16284,738
PF13927,Immunoglobulin domain,pfam,domain,-,-,-,P16284,738
PF17736,C17orf99 Ig domain,pfam,domain,IPR040878,-,-,P16284,738
PF00149,Calcineurin-like phosphoesterase,pfam,domain,IPR004843,-,-,P16298,524
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,P16333,377
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,P16333,377
PF02214,BTB/POZ domain,pfam,domain,IPR003131,-,-,P16389,499
PF00538,linker histone H1 and H5 family,pfam,domain,IPR005818,-,-,P16401,226
PF00538,linker histone H1 and H5 family,pfam,domain,IPR005818,-,-,P16402,221
PF00538,linker histone H1 and H5 family,pfam,domain,IPR005818,-,-,P16403,213
PF00175,Oxidoreductase NAD-binding domain,pfam,domain,IPR001433,-,-,P16435,677
PF00258,Flavodoxin,pfam,domain,IPR008254,-,-,P16435,677
PF00667,FAD binding domain,pfam,domain,IPR003097,-,-,P16435,677
PF00868,Transglutaminase family,pfam,domain,IPR001102,-,-,P16452,691
PF00927,"Transglutaminase family, C-terminal ig like domain",pfam,domain,IPR008958,-,-,P16452,691
PF00082,Subtilase family,pfam,domain,IPR000209,-,-,P16519,638
PF16470,Peptidase S8 pro-domain,pfam,domain,IPR032815,-,-,P16519,638
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,P16591,822
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,P16591,822
PF00690,"Cation transporter/ATPase, N-terminus",pfam,domain,IPR004014,-,-,P16615,1042
PF00702,haloacid dehalogenase-like hydrolase,pfam,domain,-,-,-,P16615,1042
PF00246,Zinc carboxypeptidase,pfam,domain,IPR000834,-,-,P16870,476
PF13620,Carboxypeptidase regulatory-like domain,pfam,domain,-,-,-,P16870,476
PF09298,Fumarylacetoacetase N-terminal,pfam,domain,IPR015377,-,-,P16930,419
PF17450,Alpha galactosidase A C-terminal beta sandwich domain,pfam,domain,IPR035373,-,-,P17050,411
PF00155,Aminotransferase class I and II,pfam,domain,IPR004839,-,-,P17174,413
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,P17252,672
PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),pfam,domain,IPR002219,-,-,P17252,672
PF00168,C2 domain,pfam,domain,IPR000008,-,-,P17252,672
PF00092,von Willebrand factor type A domain,pfam,domain,IPR002035,-,-,P17301,1181
PF20805,Integrin alpha Ig-like domain 2,pfam,domain,IPR048285,-,-,P17301,1181
PF20806,Integrin alpha Ig-like domain 3,pfam,domain,IPR048286,-,-,P17301,1181
PF00029,Connexin,pfam,domain,IPR013092,-,-,P17302,382
PF00149,Calcineurin-like phosphoesterase,pfam,domain,IPR004843,-,-,P17405,631
PF00505,HMG (high mobility group) box,pfam,domain,IPR009071,-,-,P17480,764
PF09011,HMG-box domain,pfam,domain,IPR009071,-,-,P17480,764
PF02078,"Synapsin, N-terminal domain",pfam,domain,IPR020897,-,-,P17600,705
PF02750,"Synapsin, ATP binding domain",pfam,domain,IPR020898,-,-,P17600,705
PF10581,Synapsin N-terminal,pfam,domain,IPR019736,-,-,P17600,705
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,P17612,351
PF00226,DnaJ domain,pfam,domain,IPR001623,-,-,P17612,351
PF01067,"Calpain large subunit, domain III",pfam,domain,IPR022682,-,-,P17655,700
PF13833,EF-hand domain pair,pfam,domain,IPR002048,-,-,P17655,700
PF02214,BTB/POZ domain,pfam,domain,IPR003131,-,-,P17658,529
PF10580,Gap junction protein N-terminal region,pfam,domain,IPR018947,-,-,P17677,238
PF00117,Glutamine amidotransferase class-I,pfam,domain,IPR017926,-,-,P17812,591
PF06418,CTP synthase N-terminus,pfam,domain,IPR017456,-,-,P17812,591
PF00270,DEAD/DEAH box helicase,pfam,domain,IPR011545,-,-,P17844,614
PF00271,Helicase conserved C-terminal domain,pfam,domain,IPR001650,-,-,P17844,614
PF00365,Phosphofructokinase,pfam,domain,IPR000023,-,-,P17858,780
PF02221,ML domain,pfam,domain,IPR003172,-,-,P17900,193
PF00337,Galactoside-binding lectin,pfam,domain,IPR001079,-,-,P17931,250
PF00004,ATPase family associated with various cellular activities (AAA),pfam,domain,IPR003959,-,-,P17980,439
PF16450,Proteasomal ATPase OB C-terminal domain,pfam,domain,IPR032501,-,-,P17980,439
PF17862,AAA+ lid domain,pfam,domain,IPR041569,-,-,P17980,439
PF00102,Protein-tyrosine phosphatase,pfam,domain,IPR000242,-,-,P18031,435
PF13426,PAS domain,pfam,domain,IPR000014,-,-,P18031,435
PF00086,Thyroglobulin type-1 repeat,pfam,domain,IPR000716,-,-,P18065,325
PF00219,Insulin-like growth factor binding protein,pfam,domain,IPR000867,-,-,P18065,325
PF01247,Ribosomal protein L35Ae,pfam,domain,IPR001780,-,-,P18077,110
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,P18084,799
PF00362,Integrin beta chain VWA domain,pfam,domain,IPR002369,-,-,P18084,799
PF07965,Integrin beta tail domain,pfam,domain,IPR012896,-,-,P18084,799
PF08725,Integrin beta cytoplasmic domain,pfam,domain,IPR014836,-,-,P18084,799
PF17205,Integrin plexin domain,pfam,domain,IPR033760,-,-,P18084,799
PF18372,Integrin beta epidermal growth factor like domain 1,pfam,domain,IPR040622,-,-,P18084,799
PF00025,ADP-ribosylation factor family,pfam,domain,IPR006689,-,-,P18085,180
PF00327,Ribosomal protein L30p/L7e,pfam,domain,IPR016082,-,-,P18124,248
PF08079,Ribosomal L30 N-terminal domain,pfam,domain,IPR012988,-,-,P18124,248
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,P18206,1134
PF02886,"LBP / BPI / CETP family, C-terminal domain",pfam,domain,IPR001124,-,-,P18428,481
PF00102,Protein-tyrosine phosphatase,pfam,domain,IPR000242,-,-,P18433,802
PF00237,Ribosomal protein L22p/L17e,pfam,domain,IPR001063,-,-,P18621,184
PF00300,Histidine phosphatase superfamily (branch 1),pfam,domain,IPR013078,-,-,P18669,254
PF01082,"Copper type II ascorbate-dependent monooxygenase, N-terminal domain",pfam,domain,IPR000323,-,-,P19021,973
PF03712,"Copper type II ascorbate-dependent monooxygenase, C-terminal domain",pfam,domain,IPR024548,-,-,P19021,973
PF00028,Cadherin domain,pfam,domain,IPR002126,-,-,P19022,906
PF08758,Cadherin prodomain like,pfam,domain,IPR014868,-,-,P19022,906
PF00503,G-protein alpha subunit,pfam,domain,IPR001019,-,-,P19086,355
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,P19174,1290
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,P19174,1290
PF00168,C2 domain,pfam,domain,IPR000008,-,-,P19174,1290
PF00169,PH domain,pfam,domain,IPR001849,-,-,P19174,1290
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P19338,710
PF00349,Hexokinase,pfam,domain,IPR022672,-,-,P19367,917
PF03727,Hexokinase,pfam,domain,IPR022673,-,-,P19367,917
PF01000,RNA polymerase Rpb3/RpoA insert domain,pfam,domain,IPR011262,-,-,P19387,275
PF01193,RNA polymerase Rpb3/Rpb11 dimerisation domain,pfam,domain,IPR011263,-,-,P19387,275
PF00035,Double-stranded RNA binding motif,pfam,domain,IPR014720,-,-,P19525,551
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,P19525,551
PF00010,Helix-loop-helix DNA-binding domain,pfam,domain,IPR011598,-,-,P19532,575
PF01564,Spermine/spermidine synthase domain,pfam,domain,-,-,-,P19623,302
PF17284,Spermidine synthase tetramerisation domain,pfam,domain,IPR035246,-,-,P19623,302
PF16644,Regulatory region of Na+/H+ exchanger NHE binds to calmodulin,pfam,domain,IPR032103,-,-,P19634,815
PF00061,Lipocalin / cytosolic fatty-acid binding protein family,pfam,domain,IPR000566,-,-,P19652,201
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,P19784,350
PF00092,von Willebrand factor type A domain,pfam,domain,IPR002035,-,-,P19823,946
PF00092,von Willebrand factor type A domain,pfam,domain,IPR002035,-,-,P19827,911
PF00531,Death domain,pfam,domain,IPR000488,-,-,P19838,968
PF00554,Rel homology DNA-binding domain,pfam,domain,IPR011539,-,-,P19838,968
PF16179,Rel homology dimerisation domain,pfam,domain,IPR032397,-,-,P19838,968
PF02885,"Glycosyl transferase family, helical bundle domain",pfam,domain,IPR017459,-,-,P19971,482
PF07831,Pyrimidine nucleoside phosphorylase C-terminal domain,pfam,domain,IPR013102,-,-,P19971,482
PF00690,"Cation transporter/ATPase, N-terminus",pfam,domain,IPR004014,-,-,P20020,1220
PF00702,haloacid dehalogenase-like hydrolase,pfam,domain,-,-,-,P20020,1220
PF00191,Annexin,pfam,domain,IPR018502,-,-,P20073,488
PF00071,Ras family,pfam,domain,IPR001806,-,-,P20336,220
PF00071,Ras family,pfam,domain,IPR001806,-,-,P20337,219
PF00071,Ras family,pfam,domain,IPR001806,-,-,P20338,218
PF00071,Ras family,pfam,domain,IPR001806,-,-,P20339,215
PF00071,Ras family,pfam,domain,IPR001806,-,-,P20340,208
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,P20472,110
PF00350,Dynamin family,pfam,domain,IPR045063,-,-,P20591,662
PF00227,Proteasome subunit,pfam,domain,IPR001353,-,-,P20618,241
PF02284,Cytochrome c oxidase subunit Va,pfam,domain,IPR003204,-,-,P20674,150
PF00932,Lamin Tail Domain,pfam,domain,IPR001322,-,-,P20700,586
PF08205,CD80-like C2-set immunoglobulin domain,pfam,domain,IPR013162,-,-,P20916,626
PF13927,Immunoglobulin domain,pfam,domain,-,-,-,P20916,626
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,P20936,1047
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,P20936,1047
PF00168,C2 domain,pfam,domain,IPR000008,-,-,P20936,1047
PF00169,PH domain,pfam,domain,IPR001849,-,-,P20936,1047
PF01091,"PTN/MK heparin-binding protein family, C-terminal domain",pfam,domain,IPR020090,-,-,P21246,168
PF05196,"PTN/MK heparin-binding protein family, N-terminal domain",pfam,domain,IPR020089,-,-,P21246,168
PF00043,"Glutathione S-transferase, C-terminal domain",pfam,domain,IPR004046,-,-,P21266,225
PF02798,"Glutathione S-transferase, N-terminal domain",pfam,domain,IPR004045,-,-,P21266,225
PF00006,"ATP synthase alpha/beta family, nucleotide-binding domain",pfam,domain,IPR000194,-,-,P21281,511
PF02874,"ATP synthase alpha/beta family, beta-barrel domain",pfam,domain,IPR004100,-,-,P21281,511
PF00412,LIM domain,pfam,domain,IPR001781,-,-,P21291,193
PF01593,Flavin containing amine oxidoreductase,pfam,domain,IPR002937,-,-,P21397,527
PF00694,Aconitase C-terminal domain,pfam,domain,IPR000573,-,-,P21399,889
PF00959,Phage lysozyme,pfam,domain,IPR002196,-,-,P21453,382
PF00258,Flavodoxin,pfam,domain,IPR008254,-,-,P21554,472
PF13692,Glycosyl transferases group 1,pfam,domain,-,-,-,P21554,472
PF00168,C2 domain,pfam,domain,IPR000008,-,-,P21579,422
PF00149,Calcineurin-like phosphoesterase,pfam,domain,IPR004843,-,-,P21589,574
PF02872,"5'-nucleotidase, C-terminal domain",pfam,domain,IPR008334,-,-,P21589,574
PF07479,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus,pfam,domain,IPR006109,-,-,P21695,349
PF13085,2Fe-2S iron-sulfur cluster binding domain,pfam,domain,IPR025192,-,-,P21912,280
PF13534,4Fe-4S dicluster domain,pfam,domain,-,-,-,P21912,280
PF13589,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",pfam,domain,-,-,-,P21912,280
PF02779,"Transketolase, pyrimidine binding domain",pfam,domain,IPR005475,-,-,P21953,392
PF02780,"Transketolase, C-terminal domain",pfam,domain,IPR033248,-,-,P21953,392
PF01596,O-methyltransferase,pfam,domain,IPR002935,-,-,P21964,271
PF00868,Transglutaminase family,pfam,domain,IPR001102,-,-,P21980,687
PF00927,"Transglutaminase family, C-terminal ig like domain",pfam,domain,IPR008958,-,-,P21980,687
PF01353,Green fluorescent protein,pfam,domain,IPR011584,-,-,P22001,575
PF02214,BTB/POZ domain,pfam,domain,IPR003131,-,-,P22001,575
PF02310,B12 binding domain,pfam,domain,IPR006158,-,-,P22033,750
PF00169,PH domain,pfam,domain,IPR001849,-,-,P22059,807
PF01269,Fibrillarin,pfam,domain,IPR000692,-,-,P22087,321
PF00551,Formyl transferase,pfam,domain,IPR002376,-,-,P22102,1010
PF00586,"AIR synthase related protein, N-terminal domain",pfam,domain,IPR016188,-,-,P22102,1010
PF01071,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain",pfam,domain,IPR020561,-,-,P22102,1010
PF02769,"AIR synthase related protein, C-terminal domain",pfam,domain,IPR010918,-,-,P22102,1010
PF02843,"Phosphoribosylglycinamide synthetase, C domain",pfam,domain,IPR020560,-,-,P22102,1010
PF02844,"Phosphoribosylglycinamide synthetase, N domain",pfam,domain,IPR020562,-,-,P22102,1010
PF00731,AIR carboxylase,pfam,domain,IPR000031,-,-,P22234,425
PF00108,"Thiolase, N-terminal domain",pfam,domain,IPR020616,-,-,P22307,547
PF02036,SCP-2 sterol transfer family,pfam,domain,IPR003033,-,-,P22307,547
PF02803,"Thiolase, C-terminal domain",pfam,domain,IPR020617,-,-,P22307,547
PF00899,ThiF family,pfam,domain,IPR000594,-,-,P22314,1058
PF09358,Ubiquitin fold domain,pfam,domain,IPR018965,-,-,P22314,1058
PF10585,"Ubiquitin-activating enzyme, SCCH domain",pfam,domain,IPR019572,-,-,P22314,1058
PF16190,Ubiquitin-activating enzyme E1 FCCH domain,pfam,domain,IPR032418,-,-,P22314,1058
PF16191,Ubiquitin-activating enzyme E1 four-helix bundle,pfam,domain,IPR032420,-,-,P22314,1058
PF02214,BTB/POZ domain,pfam,domain,IPR003131,-,-,P22459,653
PF07992,Pyridine nucleotide-disulphide oxidoreductase,pfam,domain,IPR023753,-,-,P22570,491
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P22626,353
PF01353,Green fluorescent protein,pfam,domain,IPR011584,-,-,P22626,353
PF11627,"Heterogeneous nuclear ribonucleoprotein A1, LC domain",pfam,domain,IPR021662,-,-,P22626,353
PF13405,EF-hand domain,pfam,domain,IPR002048,-,-,P22676,271
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,P22676,271
PF00097,"Zinc finger, C3HC4 type (RING finger)",pfam,domain,IPR018957,-,-,P22681,906
PF00627,UBA/TS-N domain,pfam,domain,IPR015940,-,-,P22681,906
PF02262,CBL proto-oncogene N-terminal domain 1,pfam,domain,IPR003153,-,-,P22681,906
PF02761,"CBL proto-oncogene N-terminus, EF hand-like domain",pfam,domain,IPR014741,-,-,P22681,906
PF02762,"CBL proto-oncogene N-terminus, SH2-like domain",pfam,domain,IPR014742,-,-,P22681,906
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,P22694,351
PF05193,Peptidase M16 inactive domain,pfam,domain,IPR007863,-,-,P22695,453
PF00194,Eukaryotic-type carbonic anhydrase,pfam,domain,IPR001148,-,-,P22748,312
PF00762,Ferrochelatase,pfam,domain,IPR001015,-,-,P22830,423
PF00040,Fibronectin type II domain,pfam,domain,IPR000562,-,-,P22897,1456
PF00059,Lectin C-type domain,pfam,domain,IPR001304,-,-,P22897,1456
PF00652,Ricin-type beta-trefoil lectin domain,pfam,domain,IPR000772,-,-,P22897,1456
PF00135,Carboxylesterase family,pfam,domain,IPR002018,-,-,P23141,567
PF01821,Anaphylotoxin-like domain,pfam,domain,IPR000020,-,-,P23142,703
PF07645,Calcium-binding EGF domain,pfam,domain,IPR049883,-,-,P23142,703
PF12662,Complement Clr-like EGF-like,pfam,domain,IPR026823,-,-,P23142,703
PF01096,Transcription factor S-II (TFIIS),pfam,domain,IPR001222,-,-,P23193,301
PF07500,"Transcription factor S-II (TFIIS), central domain",pfam,domain,IPR003618,-,-,P23193,301
PF08711,TFIIS helical bundle-like domain,pfam,domain,IPR017923,-,-,P23193,301
PF08441,Integrin alpha Ig-like domain 1,pfam,domain,IPR013649,-,-,P23229,1130
PF20805,Integrin alpha Ig-like domain 2,pfam,domain,IPR048285,-,-,P23229,1130
PF20806,Integrin alpha Ig-like domain 3,pfam,domain,IPR048286,-,-,P23229,1130
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P23246,707
PF08075,NOPS (NUC059) domain,pfam,domain,IPR012975,-,-,P23246,707
PF00091,"Tubulin/FtsZ family, GTPase domain",pfam,domain,IPR003008,-,-,P23258,451
PF03953,Tubulin C-terminal domain,pfam,domain,IPR018316,-,-,P23258,451
PF00160,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,pfam,domain,IPR002130,-,-,P23284,216
PF00036,EF hand,pfam,domain,IPR002048,-,-,P23297,94
PF01023,S-100/ICaBP type calcium binding domain,pfam,domain,IPR013787,-,-,P23297,94
PF00390,"Malic enzyme, N-terminal domain",pfam,domain,IPR012301,-,-,P23368,584
PF03949,"Malic enzyme, NAD binding domain",pfam,domain,IPR012302,-,-,P23368,584
PF01212,Beta-eliminating lyase,pfam,domain,IPR001597,-,-,P23378,1020
PF02347,Glycine cleavage system P-protein,pfam,domain,IPR049315,-,-,P23378,1020
PF21478,"Glycine dehydrogenase, C-terminal domain",pfam,domain,IPR049316,-,-,P23378,1020
PF00458,WHEP-TRS domain,pfam,domain,IPR000738,-,-,P23381,471
PF00189,"Ribosomal protein S3, C-terminal domain",pfam,domain,IPR001351,-,-,P23396,243
PF07650,KH domain,pfam,domain,IPR004044,-,-,P23396,243
PF01597,Glycine cleavage H-protein,pfam,domain,IPR033753,-,-,P23434,173
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,P23443,525
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,P23458,1154
PF17887,Jak1 pleckstrin homology-like domain,pfam,domain,IPR041381,-,-,P23458,1154
PF18377,FERM F2 acyl-CoA binding protein-like domain,pfam,domain,IPR041046,-,-,P23458,1154
PF18379,FERM F1 ubiquitin-like domain,pfam,domain,IPR041155,-,-,P23458,1154
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,P23468,1912
PF00102,Protein-tyrosine phosphatase,pfam,domain,IPR000242,-,-,P23468,1912
PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,-,-,P23468,1912
PF13927,Immunoglobulin domain,pfam,domain,-,-,-,P23468,1912
PF00102,Protein-tyrosine phosphatase,pfam,domain,IPR000242,-,-,P23469,700
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,P23470,1445
PF00102,Protein-tyrosine phosphatase,pfam,domain,IPR000242,-,-,P23470,1445
PF00194,Eukaryotic-type carbonic anhydrase,pfam,domain,IPR001148,-,-,P23470,1445
PF00670,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain",pfam,domain,IPR015878,-,-,P23526,432
PF05221,S-adenosyl-L-homocysteine hydrolase,pfam,domain,IPR000043,-,-,P23526,432
PF00241,Cofilin/tropomyosin-type actin-binding protein,pfam,domain,IPR002108,-,-,P23528,166
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,P23588,611
PF00690,"Cation transporter/ATPase, N-terminus",pfam,domain,IPR004014,-,-,P23634,1241
PF00702,haloacid dehalogenase-like hydrolase,pfam,domain,-,-,-,P23634,1241
PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),pfam,domain,IPR002219,-,-,P23743,735
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,P23743,735
PF14513,Diacylglycerol kinase N-terminus,pfam,domain,IPR029477,-,-,P23743,735
PF02223,Thymidylate kinase,pfam,domain,IPR039430,-,-,P23919,212
PF00317,"Ribonucleotide reductase, all-alpha domain",pfam,domain,IPR013509,-,-,P23921,792
PF03477,ATP cone domain,pfam,domain,IPR005144,-,-,P23921,792
PF00089,Trypsin,pfam,domain,IPR001254,-,-,P24158,256
PF00155,Aminotransferase class I and II,pfam,domain,IPR004839,-,-,P24298,496
PF00736,EF-1 guanine nucleotide exchange domain,pfam,domain,IPR014038,-,-,P24534,225
PF10587,Eukaryotic elongation factor 1 beta central acidic region,pfam,domain,IPR018940,-,-,P24534,225
PF00086,Thyroglobulin type-1 repeat,pfam,domain,IPR000716,-,-,P24593,272
PF00219,Insulin-like growth factor binding protein,pfam,domain,IPR000867,-,-,P24593,272
PF01451,Low molecular weight phosphotyrosine protein phosphatase,pfam,domain,IPR023485,-,-,P24666,158
PF00108,"Thiolase, N-terminal domain",pfam,domain,IPR020616,-,-,P24752,427
PF02803,"Thiolase, C-terminal domain",pfam,domain,IPR020617,-,-,P24752,427
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,P24844,172
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,P25098,689
PF00169,PH domain,pfam,domain,IPR001849,-,-,P25098,689
PF00615,Regulator of G protein signaling domain,pfam,domain,IPR016137,-,-,P25098,689
PF07686,Immunoglobulin V-set domain,pfam,domain,IPR013106,-,-,P25189,248
